GeoFips,GeoName,LineCode,Description,2023
10180,"Abilene, TX (Metropolitan Statistical Area)",1,RPPs: All items,89.849
10180,"Abilene, TX (Metropolitan Statistical Area)",2,"  RPPs: Goods",91.935
10180,"Abilene, TX (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",73.614
10180,"Abilene, TX (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",89.077
10180,"Abilene, TX (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",95.265
10420,"Akron, OH (Metropolitan Statistical Area)",1,RPPs: All items,92.827
10420,"Akron, OH (Metropolitan Statistical Area)",2,"  RPPs: Goods",93.316
10420,"Akron, OH (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",77.466
10420,"Akron, OH (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",89.423
10420,"Akron, OH (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.784
10500,"Albany, GA (Metropolitan Statistical Area)",1,RPPs: All items,86.405
10500,"Albany, GA (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.911
10500,"Albany, GA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",50.034
10500,"Albany, GA (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",85.924
10500,"Albany, GA (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",98.049
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",1,RPPs: All items,104.609
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2,"  RPPs: Goods",104.556
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",108.152
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",90.972
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",104.199
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1,RPPs: All items,97.583
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,"  RPPs: Goods",98.137
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",92.800
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",132.259
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",97.604
10740,"Albuquerque, NM (Metropolitan Statistical Area)",1,RPPs: All items,92.958
10740,"Albuquerque, NM (Metropolitan Statistical Area)",2,"  RPPs: Goods",95.413
10740,"Albuquerque, NM (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",88.767
10740,"Albuquerque, NM (Metropolitan Statistical Area)",4,"  RPPs: Services: Utilities",76.684
10740,"Albuquerque, NM (Metropolitan Statistical Area)",5,"  RPPs: Services: Other",93.686
10780,"Alexandria, LA (Metropolitan Statistical Area)",1,RPPs: All items,86.218
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,"  RPPs: Goods",92.036
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,"  RPPs: Services: Housing",56.081
