City,State,Zip Code,Walk Score, Transit Score, Bike Score, Population
Birmingham,AL,35211,33,21,31,"212,237"
Montgomery,AL,36109,26,16,33,"205,764"
Mobile,AL,36605,32,0,34,"195,111"
Huntsville,AL,35810,24,11,40,"180,105"
Tuscaloosa,AL,,33,0,37,"90,468"
Hoover,AL,,17,0,12,"81,619"
Dothan,AL,,22,0,31,"65,496"
Decatur,AL,,25,0,40,"55,683"
Auburn,AL,,28,0,38,"53,380"
Madison,AL,35758,17,0,34,"42,938"
Florence,AL,35630,32,0,36,"39,319"
Gadsden,AL,,25,0,33,"36,856"
Vestavia Hills,AL,,22,0,15,"34,033"
Prattville,AL,,18,0,28,"33,960"
Phenix City,AL,36867,24,0,24,"32,822"
Alabaster,AL,,10,0,20,"30,352"
Bessemer,AL,,26,0,31,"27,456"
Enterprise,AL,,19,0,26,"26,562"
Opelika,AL,,18,0,29,"26,477"
Homewood,AL,,42,22,25,"25,167"
Northport,AL,,27,0,30,"23,330"
Anniston,AL,36205,22,0,26,"23,106"
Prichard,AL,36612,23,0,31,"22,659"
Athens,AL,,21,0,33,"21,897"
Daphne,AL,,15,0,27,"21,570"
Pelham,AL,,13,0,16,"21,352"
Oxford,AL,,10,0,23,"21,348"
Albertville,AL,,19,0,34,"21,160"
Selma,AL,,30,0,41,"20,756"
Mountain Brook,AL,,21,0,14,"20,413"
Trussville,AL,,10,0,12,"19,933"
Troy,AL,,21,0,24,"18,033"
Tillmans Corner,AL,,13,0,26,"17,398"
Center Point,AL,,24,0,19,"16,921"
Helena,AL,,12,0,18,"16,793"
Anchorage,AK,,31,22,52,"291,826"
Fairbanks,AK,,32,24,56,"31,535"
Juneau,AK,,21,27,35,"31,275"
Badger,AK,,3,0,30,"19,482"
Phoenix,AZ,85032,41,36,56,"1,445,632"
Tucson,AZ,85710,43,35,66,"520,116"
Mesa,AZ,85204,38,27,60,"439,041"
Chandler,AZ,85225,35,24,55,"236,123"
Glendale,AZ,85301,40,34,57,"226,721"
Scottsdale,AZ,85255,32,23,56,"217,385"
Gilbert,AZ,85296,29,15,53,"208,453"
Tempe,AZ,85281,54,45,75,"161,719"
Peoria,AZ,85345,30,19,47,"154,065"
Surprise,AZ,85374,21,0,46,"117,517"
Yuma,AZ,,34,19,51,"93,064"
San Tan Valley,AZ,,12,0,34,"81,321"
Avondale,AZ,85329,26,0,52,"76,238"
Casas Adobes,AZ,85741,24,0,44,"66,795"
Flagstaff,AZ,,39,39,65,"65,870"
Goodyear,AZ,,17,0,42,"65,275"
Lake Havasu City,AZ,86403,15,0,29,"52,527"
Buckeye,AZ,,14,0,33,"50,876"
Catalina Foothills,AZ,85718,13,0,30,"50,796"
Casa Grande,AZ,,27,0,45,"48,571"
Sierra Vista,AZ,85613,25,0,53,"43,888"
Maricopa,AZ,,13,0,38,"43,482"
Oro Valley,AZ,,12,0,41,"41,011"
Prescott,AZ,,25,0,27,"39,843"
Bullhead City,AZ,,21,0,32,"39,540"
Prescott Valley,AZ,,16,0,36,"38,822"
Sun City,AZ,85351,26,0,42,"37,499"
Apache Junction,AZ,,21,0,41,"35,840"
Marana,AZ,,14,0,38,"34,961"
El Mirage,AZ,,27,0,42,"31,797"
Kingman,AZ,,25,0,36,"28,068"
Drexel Heights,AZ,,16,0,32,"27,749"
Queen Creek,AZ,,17,0,44,"26,361"
Fortuna Foothills,AZ,85367,14,0,36,"26,265"
Florence,AZ,,16,0,36,"25,536"
San Luis,AZ,85349,20,0,39,"25,505"
Sahuarita,AZ,,8,0,30,"25,259"
Sun City West,AZ,,12,0,38,"24,535"
Fountain Hills,AZ,85268,19,0,23,"22,489"
Anthem,AZ,,18,0,42,"21,700"
Green Valley,AZ,,12,0,31,"21,391"
Nogales,AZ,,30,0,27,"20,837"
Rio Rico,AZ,,4,0,17,"18,962"
Douglas,AZ,,35,0,46,"17,378"
Tanque Verde,AZ,,4,0,29,"16,901"
Eloy,AZ,,12,0,32,"16,631"
Little Rock,AR,72209,33,19,32,"193,524"
Fort Smith,AR,72903,35,0,38,"86,209"
Fayetteville,AR,,32,0,50,"73,580"
Springdale,AR,,27,0,39,"69,797"
Jonesboro,AR,,23,0,30,"67,263"
North Little Rock,AR,72116,32,19,31,"62,304"
Conway,AR,,25,0,37,"58,908"
Rogers,AR,,20,0,43,"55,964"
Pine Bluff,AR,,26,0,35,"49,083"
Bentonville,AR,,24,0,41,"35,301"
Hot Springs,AR,,31,0,27,"35,193"
Benton,AR,,17,0,27,"30,681"
Texarkana,AR,,26,0,34,"29,919"
Sherwood,AR,,21,7,29,"29,523"
Jacksonville,AR,,22,3,35,"28,364"
Russellville,AR,72801,27,0,38,"27,920"
Bella Vista,AR,72714,2,0,9,"26,461"
West Memphis,AR,,31,0,38,"26,245"
Paragould,AR,,23,0,30,"26,113"
Cabot,AR,,19,0,31,"23,776"
Searcy,AR,,36,0,44,"22,858"
Van Buren,AR,,23,0,27,"22,791"
El Dorado,AR,,29,0,32,"18,884"
Maumelle,AR,,16,0,44,"17,163"
Bryant,AR,72022,16,0,31,"16,688"
Los Angeles,CA,90011,69,53,59,"3,792,621"
San Diego,CA,92126,53,37,43,"1,307,402"
San Jose,CA,95123,51,40,62,"945,942"
San Francisco,CA,94112,89,77,72,"805,235"
Fresno,CA,93702,47,33,58,"494,665"
Sacramento,CA,95822,49,34,67,"466,488"
Long Beach,CA,90805,73,49,70,"462,257"
Oakland,CA,94601,75,57,65,"390,724"
Bakersfield,CA,93309,37,25,44,"347,483"
Anaheim,CA,92804,56,34,52,"336,265"
Santa Ana,CA,92704,67,43,62,"324,528"
Riverside,CA,92505,43,30,49,"303,871"
Stockton,CA,95207,44,25,52,"291,707"
Chula Vista,CA,91911,46,35,41,"243,916"
Fremont,CA,94536,50,36,54,"214,089"
Irvine,CA,92612,43,26,69,"212,375"
San Bernardino,CA,92405,45,31,44,"209,924"
Modesto,CA,95355,48,30,48,"201,165"
Oxnard,CA,93035,57,35,51,"197,899"
Fontana,CA,92336,37,27,41,"196,069"
Moreno Valley,CA,92553,33,26,37,"193,365"
Glendale,CA,91205,71,45,52,"191,719"
Huntington Beach,CA,92647,56,30,71,"189,992"
Santa Clarita,CA,,35,0,33,"176,320"
Garden Grove,CA,92840,62,36,58,"170,883"
Santa Rosa,CA,95405,47,27,51,"167,815"
Oceanside,CA,92057,39,33,33,"167,086"
Rancho Cucamonga,CA,91730,41,22,45,"165,269"
Ontario,CA,91761,48,23,46,"163,924"
Lancaster,CA,,29,0,40,"156,633"
Elk Grove,CA,,32,0,45,"153,015"
Palmdale,CA,,24,0,35,"152,750"
Corona,CA,92879,39,19,35,"152,374"
Salinas,CA,93905,55,30,50,"150,441"
Pomona,CA,91766,52,35,47,"149,058"
Torrance,CA,90503,67,37,54,"145,438"
Hayward,CA,94544,57,42,53,"144,186"
Escondido,CA,,45,30,40,"143,911"
Sunnyvale,CA,94087,60,40,78,"140,081"
Pasadena,CA,91104,69,51,70,"137,122"
Orange,CA,92867,51,32,53,"136,416"
Fullerton,CA,92833,54,31,47,"135,161"
Thousand Oaks,CA,91360,33,17,27,"126,683"
East Los Angeles,CA,90022,75,59,49,"126,496"
Visalia,CA,,39,0,48,"124,442"
Simi Valley,CA,93065,39,22,47,"124,237"
Concord,CA,94518,49,30,53,"122,067"
Roseville,CA,95678,38,20,59,"118,788"
Santa Clara,CA,95051,58,41,74,"116,468"
Vallejo,CA,94590,46,28,36,"115,942"
Victorville,CA,92394,19,22,34,"115,903"
El Monte,CA,91732,62,46,57,"113,475"
Berkeley,CA,94704,85,60,83,"112,580"
Downey,CA,90242,61,0,53,"111,772"
Costa Mesa,CA,92627,65,37,66,"109,960"
Inglewood,CA,90301,73,51,54,"109,673"
San Buenaventura (Ventura),CA,,48,0,59,"106,433"
West Covina,CA,91790,47,0,37,"106,098"
Norwalk,CA,90650,61,42,52,"105,549"
Carlsbad,CA,92009,31,23,29,"105,328"
Fairfield,CA,94535,37,25,42,"105,321"
Richmond,CA,94804,59,43,52,"103,701"
Murrieta,CA,,28,18,24,"103,466"
Burbank,CA,91505,71,39,62,"103,340"
Antioch,CA,94509,41,0,42,"102,372"
Daly City,CA,94015,66,52,34,"101,123"
Temecula,CA,,30,14,29,"100,097"
Santa Maria,CA,,52,0,54,"99,553"
El Cajon,CA,92020,61,37,45,"99,478"
